timestamp,code,i01,i02,i03,i04r,i05,i06,i07,i08r,i09,i10,n_facebook_friends,n_hangover,age,sex,extra_single_item,time_conversation,presentation,n_party,clients,extra_vignette,extra_description,prop_na_per_row,extra_mean,extra_median,n_clients
09.10.2015 22:02:41,HSE,4,1,1,2,3,2,3,2,3,3,60,3.0,26,Mann,3,5.0,ja,5.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.4,2.5,NA
10.10.2015 07:47:26,REA,3,4,1,2,2,3,2,4,2,1,NA,2.0,25,Mann,3,15.0,ja,1.0,im Schnitt 1 Mal pro Tag,,NA,0.08695652173913043,2.4,2.0,1.0
10.10.2015 09:27:46,WTF,4,2,2,1,4,1,3,2,4,4,NA,1.0,30,Mann,4,6.0,ja,4.0,im Schnitt mehrfach pro Tag,,NA,0.08695652173913043,2.7,2.5,NA
10.10.2015 09:32:01,Cori,4,1,2,1,4,2,3,2,3,2,319,5.0,24,Frau,3,NA,ja,10.0,Ich habe keinen Kundenkontakt,,NA,0.043478260869565216,2.4,2.0,NA
10.10.2015 09:40:55,MFA,4,1,2,2,4,2,4,2,4,3,635,3.0,25,Frau,4,1.0,ja,10.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.8,2.5,NA
15.10.2015 15:40:23,WAE,2,2,1,2,2,3,2,3,3,1,NA,1.0,43,Mann,3,10.0,nein,2.0,im Schnitt 1 Mal pro Tag,,NA,0.08695652173913043,2.1,2.0,1.0
22.10.2015 19:45:24,MWM,3,1,2,1,3,1,4,3,4,3,234,3.0,30,Mann,3,NA,,30.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.5,3.0,NA
25.10.2015 14:36:11,WUB,4,2,1,1,4,3,4,2,3,3,520,10.0,26,Frau,4,2.0,ja,26.0,im Schnitt 1 Mal pro Tag,,NA,0.043478260869565216,2.7,3.0,1.0
02.11.2015 20:49:58,EGH,4,2,2,1,3,2,3,2,4,4,228,0.0,32,Frau,4,5.0,nein,15.0,im Schnitt 1 Mal pro Tag,,NA,0.043478260869565216,2.7,2.5,1.0
18.11.2015 16:30:52,mzr,1,4,3,2,1,3,2,4,1,4,NA,0.0,45,Mann,1,45.0,ja,0.0,im Schnitt 1 Mal pro Monat,,NA,0.08695652173913043,2.5,2.5,1.0
02.12.2015 16:15:52,BMM,3,3,1,3,2,4,3,4,2,2,NA,4.0,23,Mann,3,30.0,nein,7.0,im Schnitt 1 Mal pro Monat,,NA,0.08695652173913043,2.7,3.0,1.0
03.12.2015 14:29:09,GKM,4,2,1,1,3,2,4,2,4,2,360,10.0,21,Frau,2,30.0,nein,30.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.5,2.0,NA
03.12.2015 19:34:45,shm,3,1,1,2,3,3,2,3,4,2,315,0.0,24,Frau,2,45.0,nein,3.0,3 Mal pro Woche,,NA,0.043478260869565216,2.4,2.5,3.0
04.12.2015 15:40:50,FHM,3,1,2,2,4,2,3,3,4,2,NA,0.0,22,Mann,3,30.0,nein,5.0,100,,NA,0.08695652173913043,2.6,2.5,100.0
05.12.2015 11:11:57,kbf,4,2,2,1,2,2,2,2,3,1,629,18.0,21,Frau,4,30.0,ja,34.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.1,2.0,NA
05.12.2015 15:30:27,JMM,4,2,2,3,3,2,2,1,4,1,391,6.0,21,Frau,3,30.0,nein,50.0,im Schnitt 1 Mal pro Tag,,NA,0.043478260869565216,2.4,2.0,1.0
09.12.2015 17:20:52,kcw,4,1,3,1,4,1,4,2,3,3,NA,153.0,38,Mann,NA,1.0,ja,4.0,im Schnitt 1 Mal pro Monat,,NA,0.13043478260869565,2.6,3.0,1.0
15.12.2015 15:00:16,WKR,4,1,3,2,3,1,4,1,4,1,120,1.0,28,Frau,4,10.0,nein,6.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.4,2.5,NA
01.01.2016 18:16:00,HKK,4,1,3,1,4,1,3,2,3,3,250,0.0,45,Frau,4,5.0,ja,6.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.5,3.0,NA
19.01.2016 19:43:52,GGM,3,2,3,3,2,4,2,3,3,1,350,2.0,23,Frau,3,45.0,nein,4.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.6,3.0,NA
01.02.2016 17:50:10,EUL,3,2,1,1,4,2,4,2,3,4,600,10.0,26,Mann,4,3.0,ja,10.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.6,2.5,NA
02.02.2016 19:44:07,VEB,3,3,2,2,3,2,2,2,2,4,NA,0.0,31,Frau,4,10.0,nein,0.0,im Schnitt 1 Mal pro Woche,,NA,0.08695652173913043,2.5,2.0,1.0
02.02.2016 20:42:15,PZC,4,3,3,2,3,2,4,1,4,2,550,2.0,27,Mann,4,30.0,ja,10.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.8,3.0,NA
03.02.2016 13:51:55,GAH,4,1,3,1,3,3,4,2,4,3,NA,3.0,32,Mann,3,5.0,ja,5.0,im Schnitt mehrfach pro Tag,,NA,0.08695652173913043,2.8,3.0,NA
04.02.2016 18:45:42,BTL,4,2,1,1,3,2,3,1,3,3,155,3.0,26,Frau,3,2.0,nein,3.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.3,2.5,NA
08.02.2016 13:17:36,MBG,3,2,1,1,4,3,3,2,3,2,140,0.0,45,Frau,3,10.0,ja,5.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.4,2.5,NA
29.02.2016 11:23:12,MKG,4,2,2,1,4,1,4,3,4,4,NA,1.0,32,Frau,3,10.0,ja,6.0,im Schnitt 1 Mal pro Tag,passt insgesamt,3,0.043478260869565216,2.9,3.5,1.0
03.03.2016 15:33:23,,3,2,2,3,2,2,3,3,3,1,250,1.0,24,Frau,1,NA,nein,6.0,im Schnitt 1 Mal pro Quartal (oder weniger),keine Antwort,6,0.0,2.4,2.5,1.0
03.03.2016 15:33:29,FBR,3,2,3,1,3,2,2,3,3,2,294,2.0,28,Frau,3,27.0,ja,1.0,im Schnitt mehrfach pro Tag,passt insgesamt nicht,4,0.0,2.4,2.5,NA
